Specialty,Score Type,Total Questions,Difficulty,phi4-latest-cpu,qwen2.5-14b-cpu,qwen2.5-7b-cpu,qwen3-8b-cpu,llama3.1-8b-cpu,hf.co_unsloth_medgemma-4b-it-GGUF-latest-cpu,Elixpo_LlamaMedicine-latest-cpu,gemma3-12b-cpu,dolphin3-latest-cpu,qwen3-4b-cpu,phi4-14b-cpu,qwen3-1.7b-cpu,notus-latest-cpu,gemma2-9b-cpu,zephyr-7b-cpu,qwen2.5-1.5b-cpu,mistral-nemo-12b-cpu,llama-pro-latest-cpu,qwen2-7b-cpu,thewindmom_llama3-med42-8b-latest-cpu,llama3-8b-cpu,llava-phi3-latest-cpu,neural-chat-latest-cpu,qwen-7b-cpu,qwen2.5-3b-cpu,gemma3-4b-cpu,gemma2-2b-cpu,potaTOES33_healthmateai-latest-cpu,mistral-7b-instruct-cpu,dolphin-llama3-8b-cpu,minicpm-v-8b-cpu,glm4-9b-cpu,mistral-openorca-latest-cpu,llama3-chatqa-8b-cpu,llava-7b-cpu,dolphin3-8b-cpu,qwen-4b-cpu,llama3.2-3b-cpu,gemma-7b-cpu,orca-mini-7b-cpu,dolphin-mistral-7b-cpu,deepseek-r1-8b-cpu,qwen-1.8b-cpu,wizardlm2-7b-cpu,qwen2-1.5b-cpu,smollm2-360m-cpu,gemma3-1b-cpu,orca-mini-3b-cpu,llama2-7b-cpu,phi3-3.8b-cpu,llama2-latest-cpu,stablelm-zephyr-3b-cpu,qwen-0.5b-cpu,qwen3-0.6b-cpu,smollm2-1.7b-cpu,phi-latest-cpu,phi4-mini-3.8b-cpu,qwen2.5-0.5b-cpu,xwinlm-latest-cpu,deepseek-r1-7b-cpu,qwen2-0.5b-cpu,orca-mini-latest-cpu,wizard-vicuna-uncensored-7b-cpu,medllama2-latest-cpu,mdubu_saaam_is_a_doctor-latest-cpu,gemma-2b-cpu,deepseek-r1-1.5b-cpu,llama3.2-1b-cpu,z-uo_llava-med-v1.5-mistral-7b_q8_0-latest-cpu,exaone-deep-7.8b-cpu,deepscaler-latest-cpu,tinyllama-latest-cpu,moondream-v2-cpu,moondream-1.8b-cpu,falcon-7b-cpu,smollm2-135m-cpu,hf.co_unsloth_DeepSeek-R1-0528-Qwen3-8B-GGUF-latest-cpu,exaone-deep-2.4b-cpu,monotykamary_medichat-llama3-latest-cpu,tinydolphin-latest-cpu,taozhiyuai_openbiollm-llama-3-8b_q8_0-cpu,mistral-7b-text-cpu,everythinglm-latest-cpu,meditron-latest-cpu,phi3.5-3.8b-cpu,meditron-7b-cpu
Nephrology,Vital,13,All,80.0%,100.0%,80.0%,80.0%,40.0%,60.0%,40.0%,30.8%,20.0%,80.0%,30.8%,80.0%,0.0%,15.4%,0.0%,80.0%,38.5%,40.0%,23.1%,30.8%,23.1%,46.2%,23.1%,0.0%,100.0%,23.1%,23.1%,0.0%,15.4%,15.4%,0.0%,30.8%,30.8%,38.5%,30.8%,23.1%,0.0%,38.5%,15.4%,0.0%,15.4%,60.0%,0.0%,0.0%,30.8%,38.5%,0.0%,0.0%,0.0%,23.1%,0.0%,23.1%,0.0%,7.7%,38.5%,0.0%,23.1%,60.0%,0.0%,30.8%,53.8%,15.4%,0.0%,7.7%,0.0%,38.5%,15.4%,38.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,15.4%,0.0%,0.0%,7.7%,30.8%,0.0%,15.4%,0.0%,0.0%,0.0%,0.0%
Nephrology,General,20,Easy,95.0%,90.0%,90.0%,90.0%,80.0%,85.0%,80.0%,90.0%,80.0%,70.0%,90.0%,80.0%,0.0%,80.0%,0.0%,60.0%,95.0%,65.0%,85.0%,85.0%,80.0%,75.0%,85.0%,0.0%,65.0%,85.0%,90.0%,0.0%,85.0%,65.0%,0.0%,95.0%,90.0%,85.0%,80.0%,90.0%,0.0%,70.0%,70.0%,0.0%,70.0%,75.0%,0.0%,0.0%,70.0%,80.0%,75.0%,35.0%,75.0%,70.0%,75.0%,55.0%,0.0%,75.0%,60.0%,0.0%,75.0%,35.0%,0.0%,65.0%,50.0%,55.0%,0.0%,60.0%,45.0%,35.0%,50.0%,20.0%,0.0%,0.0%,0.0%,40.0%,5.0%,5.0%,30.0%,35.0%,0.0%,0.0%,30.0%,20.0%,0.0%,5.0%,0.0%,0.0%,0.0%,10.0%
Nephrology,Vital,5,Easy,80.0%,100.0%,80.0%,80.0%,40.0%,60.0%,40.0%,60.0%,20.0%,80.0%,80.0%,80.0%,0.0%,40.0%,0.0%,80.0%,100.0%,40.0%,60.0%,80.0%,60.0%,40.0%,60.0%,0.0%,100.0%,60.0%,60.0%,0.0%,40.0%,20.0%,0.0%,80.0%,80.0%,40.0%,20.0%,60.0%,0.0%,60.0%,40.0%,0.0%,0.0%,60.0%,0.0%,0.0%,40.0%,20.0%,0.0%,0.0%,0.0%,60.0%,0.0%,60.0%,0.0%,20.0%,40.0%,0.0%,60.0%,60.0%,0.0%,80.0%,80.0%,0.0%,0.0%,20.0%,0.0%,100.0%,40.0%,80.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,20.0%,20.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Nephrology,General,8,Mid,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,37.5%,37.5%,0.0%,0.0%,25.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,25.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,37.5%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%
Nephrology,Vital,8,Mid,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,37.5%,37.5%,0.0%,0.0%,25.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,25.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,37.5%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%
Neurology,General,28,All,90.0%,85.0%,80.0%,90.0%,80.0%,80.0%,85.0%,71.4%,70.0%,85.0%,67.9%,80.0%,0.0%,57.1%,0.0%,60.0%,64.3%,65.0%,57.1%,57.1%,50.0%,67.9%,53.6%,0.0%,60.0%,53.6%,64.3%,0.0%,53.6%,60.7%,0.0%,46.4%,53.6%,46.4%,57.1%,53.6%,0.0%,64.3%,50.0%,0.0%,53.6%,50.0%,0.0%,0.0%,53.6%,57.1%,39.3%,40.0%,39.3%,64.3%,39.3%,35.7%,0.0%,39.3%,42.9%,0.0%,57.1%,40.0%,0.0%,39.3%,35.7%,42.9%,0.0%,32.1%,39.3%,39.3%,32.1%,28.6%,0.0%,0.0%,0.0%,21.4%,35.0%,35.0%,17.9%,21.4%,0.0%,0.0%,17.9%,7.1%,0.0%,7.1%,0.0%,0.0%,17.9%,7.1%
Neurology,Vital,19,All,90.9%,90.9%,81.8%,90.9%,81.8%,81.8%,81.8%,63.2%,54.5%,81.8%,52.6%,72.7%,0.0%,42.1%,0.0%,63.6%,52.6%,54.5%,42.1%,52.6%,31.6%,63.2%,42.1%,0.0%,81.8%,36.8%,47.4%,0.0%,36.8%,42.1%,0.0%,21.1%,36.8%,21.1%,42.1%,31.6%,0.0%,52.6%,31.6%,0.0%,31.6%,45.5%,0.0%,0.0%,31.6%,36.8%,15.8%,18.2%,10.5%,57.9%,10.5%,36.8%,0.0%,15.8%,47.4%,0.0%,52.6%,72.7%,0.0%,31.6%,52.6%,21.1%,0.0%,10.5%,15.8%,57.9%,15.8%,36.8%,0.0%,0.0%,0.0%,15.8%,36.4%,36.4%,5.3%,15.8%,0.0%,0.0%,10.5%,5.3%,0.0%,5.3%,0.0%,0.0%,10.5%,5.3%
Neurology,General,20,Easy,90.0%,85.0%,80.0%,90.0%,80.0%,80.0%,85.0%,90.0%,70.0%,85.0%,95.0%,80.0%,0.0%,80.0%,0.0%,60.0%,90.0%,65.0%,80.0%,80.0%,70.0%,70.0%,75.0%,0.0%,60.0%,75.0%,80.0%,0.0%,75.0%,85.0%,0.0%,65.0%,75.0%,55.0%,75.0%,70.0%,0.0%,75.0%,70.0%,0.0%,70.0%,50.0%,0.0%,0.0%,70.0%,60.0%,55.0%,40.0%,55.0%,90.0%,55.0%,50.0%,0.0%,55.0%,40.0%,0.0%,80.0%,40.0%,0.0%,55.0%,35.0%,50.0%,0.0%,45.0%,55.0%,50.0%,45.0%,40.0%,0.0%,0.0%,0.0%,30.0%,35.0%,35.0%,25.0%,25.0%,0.0%,0.0%,20.0%,5.0%,0.0%,5.0%,0.0%,0.0%,25.0%,10.0%
Neurology,Vital,11,Easy,90.9%,90.9%,81.8%,90.9%,81.8%,81.8%,81.8%,90.9%,54.5%,81.8%,90.9%,72.7%,0.0%,72.7%,0.0%,63.6%,90.9%,54.5%,72.7%,90.9%,54.5%,63.6%,72.7%,0.0%,81.8%,63.6%,63.6%,0.0%,63.6%,72.7%,0.0%,36.4%,63.6%,18.2%,63.6%,45.5%,0.0%,63.6%,54.5%,0.0%,45.5%,45.5%,0.0%,0.0%,45.5%,27.3%,27.3%,18.2%,18.2%,100.0%,18.2%,63.6%,0.0%,27.3%,45.5%,0.0%,90.9%,72.7%,0.0%,54.5%,63.6%,18.2%,0.0%,18.2%,27.3%,90.9%,27.3%,63.6%,0.0%,0.0%,0.0%,27.3%,36.4%,36.4%,9.1%,18.2%,0.0%,0.0%,9.1%,0.0%,0.0%,0.0%,0.0%,0.0%,18.2%,9.1%
Neurology,General,8,Mid,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,12.5%,12.5%,0.0%,37.5%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,12.5%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5%,25.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,12.5%,12.5%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%
Neurology,Vital,8,Mid,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,12.5%,12.5%,0.0%,37.5%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,12.5%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5%,25.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,12.5%,12.5%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%
Nutrition Deficiencies ChemPath,General,30,All,90.0%,76.7%,83.3%,10.0%,86.7%,70.0%,83.3%,86.7%,76.7%,0.0%,80.0%,36.7%,90.0%,93.3%,76.7%,53.3%,83.3%,83.3%,86.7%,46.7%,90.0%,70.0%,76.7%,70.0%,76.7%,83.3%,90.0%,0.0%,80.0%,86.7%,83.3%,73.3%,83.3%,70.0%,70.0%,76.7%,80.0%,30.0%,73.3%,60.0%,56.7%,0.0%,0.0%,73.3%,86.7%,76.7%,63.3%,80.0%,76.7%,0.0%,76.7%,56.7%,70.0%,46.7%,33.3%,66.7%,86.7%,50.0%,76.7%,0.0%,43.3%,73.3%,43.3%,76.7%,70.0%,73.3%,0.0%,23.3%,36.7%,0.0%,0.0%,63.3%,36.7%,36.7%,56.7%,26.7%,0.0%,0.0%,16.7%,23.3%,26.7%,3.3%,10.0%,0.0%,0.0%,6.7%
Nutrition Deficiencies ChemPath,Vital,16,All,87.5%,87.5%,81.2%,0.0%,87.5%,68.8%,87.5%,87.5%,75.0%,0.0%,75.0%,31.2%,87.5%,93.8%,68.8%,62.5%,93.8%,81.2%,93.8%,50.0%,81.2%,75.0%,62.5%,75.0%,81.2%,75.0%,93.8%,0.0%,81.2%,87.5%,75.0%,68.8%,87.5%,50.0%,75.0%,75.0%,75.0%,43.8%,75.0%,56.2%,56.2%,0.0%,0.0%,68.8%,75.0%,68.8%,62.5%,68.8%,68.8%,0.0%,68.8%,62.5%,62.5%,43.8%,31.2%,75.0%,87.5%,43.8%,68.8%,0.0%,43.8%,62.5%,37.5%,81.2%,62.5%,81.2%,0.0%,31.2%,31.2%,0.0%,0.0%,62.5%,43.8%,43.8%,43.8%,31.2%,0.0%,0.0%,25.0%,18.8%,25.0%,6.2%,12.5%,0.0%,0.0%,6.2%
Nutrition Deficiencies ChemPath,General,30,Mid,90.0%,76.7%,83.3%,10.0%,86.7%,70.0%,83.3%,86.7%,76.7%,0.0%,80.0%,36.7%,90.0%,93.3%,76.7%,53.3%,83.3%,83.3%,86.7%,46.7%,90.0%,70.0%,76.7%,70.0%,76.7%,83.3%,90.0%,0.0%,80.0%,86.7%,83.3%,73.3%,83.3%,70.0%,70.0%,76.7%,80.0%,30.0%,73.3%,60.0%,56.7%,0.0%,0.0%,73.3%,86.7%,76.7%,63.3%,80.0%,76.7%,0.0%,76.7%,56.7%,70.0%,46.7%,33.3%,66.7%,86.7%,50.0%,76.7%,0.0%,43.3%,73.3%,43.3%,76.7%,70.0%,73.3%,0.0%,23.3%,36.7%,0.0%,0.0%,63.3%,36.7%,36.7%,56.7%,26.7%,0.0%,0.0%,16.7%,23.3%,26.7%,3.3%,10.0%,0.0%,0.0%,6.7%
Nutrition Deficiencies ChemPath,Vital,16,Mid,87.5%,87.5%,81.2%,0.0%,87.5%,68.8%,87.5%,87.5%,75.0%,0.0%,75.0%,31.2%,87.5%,93.8%,68.8%,62.5%,93.8%,81.2%,93.8%,50.0%,81.2%,75.0%,62.5%,75.0%,81.2%,75.0%,93.8%,0.0%,81.2%,87.5%,75.0%,68.8%,87.5%,50.0%,75.0%,75.0%,75.0%,43.8%,75.0%,56.2%,56.2%,0.0%,0.0%,68.8%,75.0%,68.8%,62.5%,68.8%,68.8%,0.0%,68.8%,62.5%,62.5%,43.8%,31.2%,75.0%,87.5%,43.8%,68.8%,0.0%,43.8%,62.5%,37.5%,81.2%,62.5%,81.2%,0.0%,31.2%,31.2%,0.0%,0.0%,62.5%,43.8%,43.8%,43.8%,31.2%,0.0%,0.0%,25.0%,18.8%,25.0%,6.2%,12.5%,0.0%,0.0%,6.2%
Nutrition Dietetic,General,50,All,88.0%,80.0%,82.0%,84.0%,84.0%,72.0%,82.0%,90.0%,78.0%,82.0%,90.0%,74.0%,70.0%,90.0%,70.0%,68.0%,82.0%,70.0%,84.0%,68.0%,72.0%,62.0%,78.0%,80.0%,40.0%,78.0%,78.0%,56.0%,80.0%,74.0%,76.0%,74.0%,80.0%,72.0%,78.0%,86.0%,72.0%,68.0%,76.0%,50.0%,66.0%,46.0%,58.0%,76.0%,58.0%,60.0%,68.0%,54.0%,68.0%,76.0%,68.0%,60.0%,60.0%,64.0%,56.0%,64.0%,80.0%,42.0%,58.0%,50.0%,42.0%,44.0%,46.0%,46.0%,60.0%,36.0%,44.0%,28.0%,58.0%,52.0%,48.0%,38.0%,34.0%,34.0%,32.0%,34.0%,90.0%,56.0%,26.0%,10.0%,14.0%,18.0%,0.0%,4.0%,18.0%,6.0%
Nutrition Dietetic,Vital,18,All,94.4%,88.9%,72.2%,83.3%,77.8%,66.7%,72.2%,83.3%,77.8%,83.3%,94.4%,66.7%,61.1%,88.9%,61.1%,55.6%,77.8%,72.2%,77.8%,66.7%,66.7%,61.1%,83.3%,77.8%,50.0%,83.3%,72.2%,55.6%,83.3%,66.7%,61.1%,72.2%,88.9%,66.7%,77.8%,88.9%,61.1%,50.0%,72.2%,61.1%,50.0%,38.9%,61.1%,77.8%,55.6%,50.0%,55.6%,50.0%,55.6%,77.8%,55.6%,83.3%,55.6%,61.1%,55.6%,72.2%,72.2%,50.0%,50.0%,38.9%,55.6%,38.9%,50.0%,44.4%,61.1%,44.4%,38.9%,27.8%,55.6%,44.4%,50.0%,38.9%,38.9%,38.9%,33.3%,27.8%,83.3%,55.6%,11.1%,5.6%,5.6%,33.3%,0.0%,5.6%,11.1%,5.6%
Nutrition Dietetic,General,50,Mid,88.0%,80.0%,82.0%,84.0%,84.0%,72.0%,82.0%,90.0%,78.0%,82.0%,90.0%,74.0%,70.0%,90.0%,70.0%,68.0%,82.0%,70.0%,84.0%,68.0%,72.0%,62.0%,78.0%,80.0%,40.0%,78.0%,78.0%,56.0%,80.0%,74.0%,76.0%,74.0%,80.0%,72.0%,78.0%,86.0%,72.0%,68.0%,76.0%,50.0%,66.0%,46.0%,58.0%,76.0%,58.0%,60.0%,68.0%,54.0%,68.0%,76.0%,68.0%,60.0%,60.0%,64.0%,56.0%,64.0%,80.0%,42.0%,58.0%,50.0%,42.0%,44.0%,46.0%,46.0%,60.0%,36.0%,44.0%,28.0%,58.0%,52.0%,48.0%,38.0%,34.0%,34.0%,32.0%,34.0%,90.0%,56.0%,26.0%,10.0%,14.0%,18.0%,0.0%,4.0%,18.0%,6.0%
Nutrition Dietetic,Vital,18,Mid,94.4%,88.9%,72.2%,83.3%,77.8%,66.7%,72.2%,83.3%,77.8%,83.3%,94.4%,66.7%,61.1%,88.9%,61.1%,55.6%,77.8%,72.2%,77.8%,66.7%,66.7%,61.1%,83.3%,77.8%,50.0%,83.3%,72.2%,55.6%,83.3%,66.7%,61.1%,72.2%,88.9%,66.7%,77.8%,88.9%,61.1%,50.0%,72.2%,61.1%,50.0%,38.9%,61.1%,77.8%,55.6%,50.0%,55.6%,50.0%,55.6%,77.8%,55.6%,83.3%,55.6%,61.1%,55.6%,72.2%,72.2%,50.0%,50.0%,38.9%,55.6%,38.9%,50.0%,44.4%,61.1%,44.4%,38.9%,27.8%,55.6%,44.4%,50.0%,38.9%,38.9%,38.9%,33.3%,27.8%,83.3%,55.6%,11.1%,5.6%,5.6%,33.3%,0.0%,5.6%,11.1%,5.6%
Nutrition Genetics,General,30,All,83.3%,66.7%,70.0%,53.3%,73.3%,76.7%,63.3%,76.7%,50.0%,23.3%,86.7%,56.7%,66.7%,70.0%,73.3%,60.0%,70.0%,60.0%,60.0%,60.0%,73.3%,63.3%,70.0%,43.3%,70.0%,63.3%,60.0%,0.0%,60.0%,70.0%,56.7%,53.3%,60.0%,53.3%,60.0%,70.0%,40.0%,66.7%,36.7%,60.0%,66.7%,13.3%,0.0%,53.3%,56.7%,40.0%,46.7%,33.3%,40.0%,0.0%,40.0%,53.3%,43.3%,50.0%,56.7%,40.0%,70.0%,50.0%,40.0%,20.0%,56.7%,30.0%,46.7%,36.7%,36.7%,46.7%,23.3%,46.7%,23.3%,3.3%,36.7%,46.7%,33.3%,33.3%,30.0%,43.3%,0.0%,20.0%,20.0%,26.7%,23.3%,26.7%,16.7%,10.0%,0.0%,10.0%
Nutrition Genetics,Vital,12,All,83.3%,16.7%,41.7%,58.3%,100.0%,91.7%,91.7%,91.7%,75.0%,16.7%,83.3%,83.3%,100.0%,100.0%,83.3%,33.3%,66.7%,25.0%,66.7%,0.0%,100.0%,58.3%,75.0%,100.0%,25.0%,91.7%,91.7%,0.0%,91.7%,91.7%,75.0%,100.0%,83.3%,75.0%,58.3%,91.7%,100.0%,33.3%,83.3%,0.0%,66.7%,33.3%,0.0%,100.0%,66.7%,100.0%,100.0%,75.0%,100.0%,0.0%,100.0%,0.0%,83.3%,100.0%,8.3%,91.7%,83.3%,8.3%,100.0%,50.0%,25.0%,75.0%,50.0%,83.3%,58.3%,100.0%,50.0%,0.0%,58.3%,8.3%,75.0%,75.0%,83.3%,83.3%,58.3%,58.3%,0.0%,25.0%,8.3%,66.7%,33.3%,33.3%,25.0%,16.7%,0.0%,16.7%
Nutrition Genetics,General,30,Mid,83.3%,66.7%,70.0%,53.3%,73.3%,76.7%,63.3%,76.7%,50.0%,23.3%,86.7%,56.7%,66.7%,70.0%,73.3%,60.0%,70.0%,60.0%,60.0%,60.0%,73.3%,63.3%,70.0%,43.3%,70.0%,63.3%,60.0%,0.0%,60.0%,70.0%,56.7%,53.3%,60.0%,53.3%,60.0%,70.0%,40.0%,66.7%,36.7%,60.0%,66.7%,13.3%,0.0%,53.3%,56.7%,40.0%,46.7%,33.3%,40.0%,0.0%,40.0%,53.3%,43.3%,50.0%,56.7%,40.0%,70.0%,50.0%,40.0%,20.0%,56.7%,30.0%,46.7%,36.7%,36.7%,46.7%,23.3%,46.7%,23.3%,3.3%,36.7%,46.7%,33.3%,33.3%,30.0%,43.3%,0.0%,20.0%,20.0%,26.7%,23.3%,26.7%,16.7%,10.0%,0.0%,10.0%
Nutrition Genetics,Vital,12,Mid,83.3%,16.7%,41.7%,58.3%,100.0%,91.7%,91.7%,91.7%,75.0%,16.7%,83.3%,83.3%,100.0%,100.0%,83.3%,33.3%,66.7%,25.0%,66.7%,0.0%,100.0%,58.3%,75.0%,100.0%,25.0%,91.7%,91.7%,0.0%,91.7%,91.7%,75.0%,100.0%,83.3%,75.0%,58.3%,91.7%,100.0%,33.3%,83.3%,0.0%,66.7%,33.3%,0.0%,100.0%,66.7%,100.0%,100.0%,75.0%,100.0%,0.0%,100.0%,0.0%,83.3%,100.0%,8.3%,91.7%,83.3%,8.3%,100.0%,50.0%,25.0%,75.0%,50.0%,83.3%,58.3%,100.0%,50.0%,0.0%,58.3%,8.3%,75.0%,75.0%,83.3%,83.3%,58.3%,58.3%,0.0%,25.0%,8.3%,66.7%,33.3%,33.3%,25.0%,16.7%,0.0%,16.7%
Nutrition Intake Menu Calculus,General,30,All,66.7%,70.0%,66.7%,13.3%,56.7%,50.0%,63.3%,63.3%,50.0%,3.3%,66.7%,43.3%,70.0%,53.3%,63.3%,60.0%,70.0%,56.7%,66.7%,70.0%,50.0%,63.3%,70.0%,63.3%,70.0%,66.7%,56.7%,0.0%,70.0%,43.3%,36.7%,63.3%,53.3%,33.3%,70.0%,43.3%,60.0%,60.0%,70.0%,70.0%,56.7%,3.3%,0.0%,10.0%,43.3%,30.0%,36.7%,30.0%,30.0%,66.7%,30.0%,73.3%,36.7%,20.0%,66.7%,33.3%,70.0%,66.7%,26.7%,16.7%,66.7%,23.3%,43.3%,26.7%,23.3%,70.0%,10.0%,70.0%,13.3%,0.0%,23.3%,30.0%,63.3%,63.3%,20.0%,36.7%,0.0%,0.0%,30.0%,16.7%,13.3%,13.3%,10.0%,6.7%,0.0%,0.0%
Nutrition Intake Menu Calculus,Vital,8,All,75.0%,75.0%,75.0%,12.5%,50.0%,50.0%,62.5%,75.0%,50.0%,12.5%,75.0%,62.5%,75.0%,62.5%,62.5%,87.5%,75.0%,50.0%,62.5%,75.0%,37.5%,75.0%,75.0%,62.5%,75.0%,75.0%,50.0%,0.0%,75.0%,37.5%,37.5%,75.0%,50.0%,25.0%,87.5%,50.0%,62.5%,75.0%,87.5%,75.0%,37.5%,0.0%,0.0%,0.0%,37.5%,25.0%,25.0%,25.0%,25.0%,75.0%,25.0%,75.0%,37.5%,12.5%,75.0%,37.5%,75.0%,75.0%,25.0%,37.5%,62.5%,12.5%,37.5%,37.5%,0.0%,75.0%,12.5%,75.0%,0.0%,0.0%,25.0%,25.0%,75.0%,75.0%,12.5%,37.5%,0.0%,0.0%,37.5%,12.5%,0.0%,25.0%,25.0%,12.5%,0.0%,0.0%
Nutrition Intake Menu Calculus,General,30,Easy,66.7%,70.0%,66.7%,13.3%,56.7%,50.0%,63.3%,63.3%,50.0%,3.3%,66.7%,43.3%,70.0%,53.3%,63.3%,60.0%,70.0%,56.7%,66.7%,70.0%,50.0%,63.3%,70.0%,63.3%,70.0%,66.7%,56.7%,0.0%,70.0%,43.3%,36.7%,63.3%,53.3%,33.3%,70.0%,43.3%,60.0%,60.0%,70.0%,70.0%,56.7%,3.3%,0.0%,10.0%,43.3%,30.0%,36.7%,30.0%,30.0%,66.7%,30.0%,73.3%,36.7%,20.0%,66.7%,33.3%,70.0%,66.7%,26.7%,16.7%,66.7%,23.3%,43.3%,26.7%,23.3%,70.0%,10.0%,70.0%,13.3%,0.0%,23.3%,30.0%,63.3%,63.3%,20.0%,36.7%,0.0%,0.0%,30.0%,16.7%,13.3%,13.3%,10.0%,6.7%,0.0%,0.0%
Nutrition Intake Menu Calculus,Vital,8,Easy,75.0%,75.0%,75.0%,12.5%,50.0%,50.0%,62.5%,75.0%,50.0%,12.5%,75.0%,62.5%,75.0%,62.5%,62.5%,87.5%,75.0%,50.0%,62.5%,75.0%,37.5%,75.0%,75.0%,62.5%,75.0%,75.0%,50.0%,0.0%,75.0%,37.5%,37.5%,75.0%,50.0%,25.0%,87.5%,50.0%,62.5%,75.0%,87.5%,75.0%,37.5%,0.0%,0.0%,0.0%,37.5%,25.0%,25.0%,25.0%,25.0%,75.0%,25.0%,75.0%,37.5%,12.5%,75.0%,37.5%,75.0%,75.0%,25.0%,37.5%,62.5%,12.5%,37.5%,37.5%,0.0%,75.0%,12.5%,75.0%,0.0%,0.0%,25.0%,25.0%,75.0%,75.0%,12.5%,37.5%,0.0%,0.0%,37.5%,12.5%,0.0%,25.0%,25.0%,12.5%,0.0%,0.0%
Nutrition Intake Menu Intake and C,General,30,All,60.0%,56.7%,56.7%,60.0%,53.3%,56.7%,63.3%,56.7%,66.7%,56.7%,50.0%,50.0%,60.0%,60.0%,60.0%,53.3%,56.7%,56.7%,63.3%,56.7%,63.3%,56.7%,60.0%,60.0%,56.7%,56.7%,56.7%,0.0%,60.0%,56.7%,56.7%,33.3%,53.3%,46.7%,56.7%,46.7%,46.7%,43.3%,43.3%,60.0%,36.7%,23.3%,0.0%,43.3%,63.3%,40.0%,43.3%,56.7%,43.3%,3.3%,43.3%,53.3%,40.0%,16.7%,60.0%,30.0%,53.3%,60.0%,43.3%,16.7%,63.3%,60.0%,36.7%,33.3%,36.7%,56.7%,16.7%,56.7%,6.7%,40.0%,13.3%,30.0%,53.3%,53.3%,30.0%,50.0%,0.0%,10.0%,30.0%,20.0%,3.3%,13.3%,10.0%,3.3%,0.0%,3.3%
